Type Ctrl-C to quit.
2026-05-31 08:22:08+00:00 | Starting watchdog observer(s).
2026-05-31 08:22:08+00:00 | Starting DigitalRFRingbuffer of (10000000000000 bytes) in /data1/mfraw:
2026-05-31 08:22:08+00:00 | (0 files, 0% size)
2026-05-31 08:22:18+00:00 | (1654 files, 0% size)
2026-05-31 08:22:28+00:00 | (1694 files, 0% size)
2026-05-31 08:22:38+00:00 | (1734 files, 0% size)
2026-05-31 08:22:48+00:00 | (1774 files, 0% size)
2026-05-31 08:22:58+00:00 | (1814 files, 0% size)
2026-05-31 08:23:08+00:00 | (1854 files, 0% size)
2026-05-31 08:23:18+00:00 | (1894 files, 0% size)
2026-05-31 08:23:28+00:00 | (1934 files, 0% size)
2026-05-31 08:23:38+00:00 | (1974 files, 0% size)
2026-05-31 08:23:48+00:00 | (2014 files, 0% size)
2026-05-31 08:23:58+00:00 | (2054 files, 0% size)
2026-05-31 08:24:08+00:00 | (2094 files, 0% size)
2026-05-31 08:24:18+00:00 | (2134 files, 0% size)
2026-05-31 08:24:28+00:00 | (2174 files, 0% size)
2026-05-31 08:24:38+00:00 | (2214 files, 0% size)
2026-05-31 08:24:48+00:00 | (2254 files, 0% size)
2026-05-31 08:24:58+00:00 | (2294 files, 0% size)
2026-05-31 08:25:08+00:00 | (2334 files, 0% size)
2026-05-31 08:25:18+00:00 | (2374 files, 0% size)
2026-05-31 08:25:28+00:00 | (2414 files, 0% size)
2026-05-31 08:25:38+00:00 | (2454 files, 0% size)
2026-05-31 08:25:48+00:00 | (2494 files, 0% size)
2026-05-31 08:25:58+00:00 | (2534 files, 0% size)
2026-05-31 08:26:08+00:00 | (2574 files, 0% size)
2026-05-31 08:26:18+00:00 | (2614 files, 0% size)
2026-05-31 08:26:28+00:00 | (2654 files, 0% size)
2026-05-31 08:26:38+00:00 | (2694 files, 0% size)
2026-05-31 08:26:48+00:00 | (2734 files, 0% size)
2026-05-31 08:26:58+00:00 | (2774 files, 0% size)
2026-05-31 08:27:08+00:00 | (2814 files, 0% size)
2026-05-31 08:27:18+00:00 | (2854 files, 0% size)
2026-05-31 08:27:28+00:00 | (2894 files, 0% size)
2026-05-31 08:27:38+00:00 | (2934 files, 0% size)
2026-05-31 08:27:48+00:00 | (2974 files, 0% size)
2026-05-31 08:27:58+00:00 | (3014 files, 0% size)
2026-05-31 08:28:08+00:00 | (3054 files, 0% size)
2026-05-31 08:28:18+00:00 | (3094 files, 0% size)
2026-05-31 08:28:28+00:00 | (3134 files, 0% size)
2026-05-31 08:28:38+00:00 | (3174 files, 0% size)
2026-05-31 08:28:48+00:00 | (3214 files, 0% size)
2026-05-31 08:28:58+00:00 | (3254 files, 0% size)
2026-05-31 08:29:08+00:00 | (3294 files, 0% size)
2026-05-31 08:29:18+00:00 | (3334 files, 0% size)
2026-05-31 08:29:28+00:00 | (3374 files, 0% size)
2026-05-31 08:29:38+00:00 | (3414 files, 0% size)
2026-05-31 08:29:48+00:00 | (3454 files, 0% size)
2026-05-31 08:29:58+00:00 | (3494 files, 0% size)
2026-05-31 08:30:08+00:00 | (3534 files, 0% size)
2026-05-31 08:30:18+00:00 | (3574 files, 0% size)
2026-05-31 08:30:28+00:00 | (3614 files, 0% size)
2026-05-31 08:30:38+00:00 | (3654 files, 0% size)
2026-05-31 08:30:48+00:00 | (3694 files, 0% size)
2026-05-31 08:30:58+00:00 | (3734 files, 0% size)
2026-05-31 08:31:08+00:00 | (3774 files, 0% size)
2026-05-31 08:31:18+00:00 | (3814 files, 0% size)
2026-05-31 08:31:28+00:00 | (3854 files, 0% size)
2026-05-31 08:31:38+00:00 | (3894 files, 0% size)
2026-05-31 08:31:48+00:00 | (3934 files, 0% size)
2026-05-31 08:31:58+00:00 | (3974 files, 0% size)
2026-05-31 08:32:08+00:00 | (4014 files, 0% size)
2026-05-31 08:32:18+00:00 | (4054 files, 0% size)
2026-05-31 08:32:28+00:00 | (4094 files, 0% size)
2026-05-31 08:32:38+00:00 | (4134 files, 0% size)
2026-05-31 08:32:48+00:00 | (4174 files, 0% size)
2026-05-31 08:32:58+00:00 | (4214 files, 0% size)
2026-05-31 08:33:08+00:00 | (4254 files, 0% size)
2026-05-31 08:33:18+00:00 | (4294 files, 0% size)
2026-05-31 08:33:28+00:00 | (4334 files, 0% size)
2026-05-31 08:33:38+00:00 | (4374 files, 0% size)
2026-05-31 08:33:48+00:00 | (4414 files, 0% size)
2026-05-31 08:33:58+00:00 | (4454 files, 0% size)
2026-05-31 08:34:08+00:00 | (4494 files, 0% size)
2026-05-31 08:34:18+00:00 | (4534 files, 0% size)
2026-05-31 08:34:28+00:00 | (4574 files, 0% size)
2026-05-31 08:34:38+00:00 | (4614 files, 0% size)
2026-05-31 08:34:48+00:00 | (4654 files, 0% size)
2026-05-31 08:34:58+00:00 | (4694 files, 0% size)
2026-05-31 08:35:08+00:00 | (4734 files, 0% size)
2026-05-31 08:35:18+00:00 | (4774 files, 0% size)
2026-05-31 08:35:28+00:00 | (4814 files, 0% size)
2026-05-31 08:35:38+00:00 | (4854 files, 0% size)
2026-05-31 08:35:48+00:00 | (4894 files, 0% size)
2026-05-31 08:35:58+00:00 | (4934 files, 0% size)
2026-05-31 08:36:08+00:00 | (4974 files, 0% size)
2026-05-31 08:36:18+00:00 | (5014 files, 0% size)
2026-05-31 08:36:28+00:00 | (5054 files, 0% size)
2026-05-31 08:36:38+00:00 | (5094 files, 0% size)
2026-05-31 08:36:48+00:00 | (5134 files, 0% size)
2026-05-31 08:36:58+00:00 | (5174 files, 0% size)
2026-05-31 08:37:08+00:00 | (5214 files, 0% size)
2026-05-31 08:37:18+00:00 | (5254 files, 0% size)
2026-05-31 08:37:28+00:00 | (5294 files, 0% size)
2026-05-31 08:37:38+00:00 | (5334 files, 0% size)
2026-05-31 08:37:48+00:00 | (5374 files, 0% size)
2026-05-31 08:37:58+00:00 | (5414 files, 0% size)
2026-05-31 08:38:08+00:00 | (5454 files, 0% size)
2026-05-31 08:38:18+00:00 | (5494 files, 0% size)
2026-05-31 08:38:28+00:00 | (5534 files, 0% size)
